Strassenklasse,Alter,Unfallklasse,Unfallschwere,Lichtverhältnisse,Verletzte Personen,Anzahl Fahrzeuge,Bodenbeschaffenheit,Geschlecht,Zeit (24h),Fahrzeugtyp,Wetterlage
Bundesstrasse,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2008,Auto,Gut
nicht klassifiziert,13,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,1850,Auto,Gut
nicht klassifiziert,19,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1300,Bus,Gut
Bundesstrasse,29,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,11,2,trocken,männlich,1940,Bus,Gut
Landesstrasse,66,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,940,Auto,Gut
nicht klassifiziert,38,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,715,Auto,Gut
Landesstrasse,17,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1320,Auto,Gut
Bundesstrasse,14,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,weiblich,1700,Auto,Gut
nicht klassifiziert,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1304,Fahrrad,Gut
Bundesstrasse,78,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1310,Bus,Gut
Bundesstrasse,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1445,Auto,Unbekannt
Bundesstrasse,26,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1340,Fahrrad,Gut
Bundesstrasse,28,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,6,3,nass / feucht,männlich,800,Transporter,Gut
Bundesstrasse,48,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2128,Mottorrad (125cc),Gut
Bundesstrasse,66,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1450,Auto,Gut
Bundesstrasse,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,725,Auto,Regen
nicht klassifiziert,18,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1745,Fahrrad,Gut
nicht klassifiziert,78,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1500,Auto,Gut
Bundesstrasse,13,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,6,3,trocken,männlich,1445,Auto,Gut
Bundesstrasse,79,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,männlich,5,Auto,Gut
Bundesstrasse,12,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,6,1,trocken,männlich,810,Auto,Gut
Landesstrasse,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2210,Auto,Gut
nicht klassifiziert,68,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,nass / feucht,weiblich,1457,Bus,Gut
nicht klassifiziert,31,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1445,Auto,Gut
nicht klassifiziert,35,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,weiblich,1240,Auto,Gut
nicht klassifiziert,51,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1025,Bus,Gut
nicht klassifiziert,80,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,925,Auto,Gut
Bundesstrasse,41,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,weiblich,1855,Auto,Gut
Autobahn,22,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,2135,Auto,Schnee
nicht klassifiziert,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1750,Fahrrad,Gut
nicht klassifiziert,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,weiblich,455,Auto,Regen
nicht klassifiziert,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,820,Mottorrad (50cc),Gut
Bundesstrasse,67,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1425,Bus,Gut
Bundesstrasse,19,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,2340,Auto,Gut
Bundesstrasse,43,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,715,Mottorrad (500cc),Gut
nicht klassifiziert,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1340,Auto,Gut
nicht klassifiziert,46,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1345,Auto,Gut
nicht klassifiziert,50,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2100,Auto,Gut
Bundesstrasse,39,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1800,Auto,Gut
Landesstrasse,19,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1425,Auto,Gut
nicht klassifiziert,44,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,2030,Mottorrad (50cc),Gut
Bundesstrasse,28,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,2315,Auto,Gut
nicht klassifiziert,36,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,männlich,900,Mottorrad (50cc),Gut
nicht klassifiziert,29,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,nass / feucht,männlich,725,Auto,Regen
nicht klassifiziert,13,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,800,Auto,Gut
nicht klassifiziert,3,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1140,Transporter,Gut
nicht klassifiziert,54,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1754,Transporter,Gut
Bundesstrasse,22,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und nicht beleuchtet,1,1,nass / feucht,männlich,54,Auto,Regen
Bundesstrasse,21,Fahrer,2,Dunkelheit: keine Strassenbeleuchtung,1,1,trocken,männlich,130,Auto,Gut
unbefestigte Strasse,67,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,901,Auto,Gut
nicht klassifiziert,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1820,Auto,Gut
Landesstrasse,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1550,Fahrrad,Gut
Landesstrasse,12,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1244,Auto,Gut
nicht klassifiziert,37,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1850,Mottorrad (500cc),Gut
Bundesstrasse,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,nass / feucht,männlich,1325,Auto,Gut
Autobahn,48,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,7,2,trocken,männlich,1640,Auto,Gut
nicht klassifiziert,26,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,6,2,nass / feucht,männlich,2201,Taxi,Gut
Landesstrasse,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,Überflutung,weiblich,1855,Auto,Regen
Bundesstrasse,5,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1730,Auto,Gut
Bundesstrasse,13,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,1815,Auto,Gut
Landesstrasse,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,746,Mottorrad (50cc),Gut
nicht klassifiziert,33,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,2315,Bus,Gut
Bundesstrasse,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,5,trocken,männlich,1615,Auto,Gut
nicht klassifiziert,36,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,5,2,trocken,männlich,227,Auto,Gut
Bundesstrasse,18,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,5,trocken,weiblich,40,Auto,Gut
Bundesstrasse,30,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,3,trocken,männlich,825,Auto,Gut
nicht klassifiziert,27,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,615,Auto,Gut
nicht klassifiziert,28,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,männlich,2105,Auto,Gut
Bundesstrasse,16,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,männlich,2017,Auto,Gut
nicht klassifiziert,63,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1315,Taxi,Gut
nicht klassifiziert,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1315,Auto,Gut
nicht klassifiziert,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2240,Auto,Gut
Bundesstrasse,41,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1535,Fahrrad,Gut
nicht klassifiziert,34,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,745,Auto,Gut
Bundesstrasse,26,Passagier,2,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,nass / feucht,männlich,1705,Auto,Gut
nicht klassifiziert,15,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1930,Auto,Gut
nicht klassifiziert,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,nass / feucht,weiblich,828,Auto,Gut
Bundesstrasse,82,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,weiblich,46,Auto,Gut
nicht klassifiziert,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1140,Fahrrad,Gut
Bundesstrasse,64,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,männlich,1407,Auto,Gut
Autobahn,56,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,trocken,männlich,1942,Auto,Gut
Landesstrasse,57,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,755,Auto,Gut
Landesstrasse,28,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2123,Fahrrad,Gut
nicht klassifiziert,25,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,weiblich,1607,Auto,Gut
Bundesstrasse,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1310,Auto,Gut
Bundesstrasse,19,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,trocken,männlich,210,Auto,Gut
Bundesstrasse,22,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1652,Auto,Gut
nicht klassifiziert,69,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1357,Bus,Regen
nicht klassifiziert,8,Fussgänger,2,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,männlich,1745,Auto,Gut
Bundesstrasse,30,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,nass / feucht,männlich,1440,Fahrrad,Gut
nicht klassifiziert,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,nass / feucht,weiblich,1250,Auto,Regen
nicht klassifiziert,54,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,weiblich,1500,Auto,Gut
nicht klassifiziert,35,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1435,Auto,Gut
Bundesstrasse,36,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1045,Bus,Gut
Landesstrasse,77,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1025,Auto,Gut
nicht klassifiziert,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1720,Auto,Gut
Autobahn,20,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,3,Schnee,männlich,650,Auto,Schnee
Bundesstrasse,49,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1605,Auto,Gut
nicht klassifiziert,34,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,Frost / Eis,männlich,45,Auto,Gut
Bundesstrasse,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,105,Auto,Gut
Autobahn,49,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,909,Auto,Gut
Bundesstrasse,28,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,weiblich,2145,Auto,Gut
Bundesstrasse,17,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,5,2,nass / feucht,weiblich,1950,Auto,Gut
nicht klassifiziert,52,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1320,Auto,Gut
Autobahn,68,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,3,nass / feucht,weiblich,1150,Auto,Gut
Bundesstrasse,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,900,Auto,Gut (starker Wind)
nicht klassifiziert,86,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,weiblich,1205,Auto,Gut
nicht klassifiziert,59,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1905,Bus,Gut
Bundesstrasse,59,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1025,Auto,Gut
Autobahn,49,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,842,Auto,Gut
nicht klassifiziert,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2240,Auto,Gut
Bundesstrasse,42,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,weiblich,2130,Mottorrad (500cc),Gut
nicht klassifiziert,56,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,männlich,1520,Auto,Gut
nicht klassifiziert,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1915,Mottorrad,Gut
Bundesstrasse,20,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1645,Fahrrad,Gut
nicht klassifiziert,26,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,2045,Auto,Gut
nicht klassifiziert,22,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,weiblich,1751,Auto,Regen (starker Wind)
nicht klassifiziert,77,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1105,Auto,Gut
Bundesstrasse,48,Fahrer,2,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1820,Mottorrad (50cc),Gut
nicht klassifiziert,2,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1120,Auto,Gut
Autobahn,43,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,846,Auto,Gut
Bundesstrasse,29,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,6,3,nass / feucht,männlich,800,Transporter,Gut
nicht klassifiziert,14,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,814,Auto,Regen
nicht klassifiziert,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,6,2,nass / feucht,männlich,2201,Transporter,Gut
nicht klassifiziert,25,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1610,Auto,Gut
nicht klassifiziert,48,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1130,Fahrrad,Gut
Bundesstrasse,59,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,trocken,weiblich,2120,Auto,Gut
Bundesstrasse,28,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,4,nass / feucht,männlich,1139,Transporter,Gut
Bundesstrasse,20,Fahrer,2,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1905,Fahrrad,Gut
Autobahn,37,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,nass / feucht,weiblich,1800,Auto,Regen
nicht klassifiziert,54,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1530,Auto,Andere
Bundesstrasse,37,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,männlich,1110,Auto,Gut
nicht klassifiziert,4,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,weiblich,1632,Auto,Gut
nicht klassifiziert,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1345,Auto,Gut
Landesstrasse,47,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1634,Mottorrad (50cc),Gut
Landesstrasse,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,1625,Auto,Gut (starker Wind)
Autobahn,45,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,5,3,Frost / Eis,weiblich,1730,Auto,Gut
nicht klassifiziert,26,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,4,2,trocken,männlich,1810,Auto,Gut
Bundesstrasse,10,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1634,Bus,Gut
Bundesstrasse,45,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,11,2,trocken,weiblich,1940,Bus,Gut
nicht klassifiziert,18,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,trocken,männlich,215,Auto,Gut
Bundesstrasse,16,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,4,nass / feucht,männlich,740,Auto,Regen
nicht klassifiziert,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,2040,Fahrrad,Gut
nicht klassifiziert,37,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,814,Auto,Gut
Bundesstrasse,22,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,203,Auto,Gut
nicht klassifiziert,84,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1030,Bus,Gut
Bundesstrasse,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,nass / feucht,männlich,840,Auto,Regen
Bundesstrasse,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,838,Auto,Gut
Autobahn,36,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,4,nass / feucht,weiblich,1630,Auto,Andere
nicht klassifiziert,20,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,235,Mottorrad (50cc),Gut
nicht klassifiziert,7,Fussgänger,2,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,männlich,1915,Auto,Gut
nicht klassifiziert,30,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,528,Taxi,Regen
nicht klassifiziert,41,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,weiblich,1755,Auto,Gut
Bundesstrasse,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,6,3,trocken,männlich,1445,Auto,Gut
nicht klassifiziert,61,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1733,Auto,Gut
Bundesstrasse,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1715,Fahrrad,Gut
nicht klassifiziert,43,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1125,Auto,Gut
nicht klassifiziert,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1853,Auto,Gut
nicht klassifiziert,22,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1045,Bus,Gut
nicht klassifiziert,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,850,Fahrrad,Gut
nicht klassifiziert,8,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,840,Auto,Gut
Bundesstrasse,35,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1510,Auto,Gut
nicht klassifiziert,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,730,Auto,Gut
Bundesstrasse,58,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,755,Fahrrad,Gut
Bundesstrasse,54,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1655,Auto,Gut
nicht klassifiziert,26,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,männlich,1743,Fahrrad,Gut
Bundesstrasse,35,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,905,Auto,Gut
Bundesstrasse,73,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,weiblich,1149,Mottorrad,Gut
nicht klassifiziert,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1618,Auto,Gut
Kraftfahrzeugstrasse,83,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,1605,Auto,Gut
Bundesstrasse,39,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1130,Auto,Gut
Bundesstrasse,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,2018,Mottorrad,Gut
Bundesstrasse,55,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,weiblich,615,Auto,Gut
nicht klassifiziert,17,Passagier,2,Dunkelheit: keine Strassenbeleuchtung,2,1,nass / feucht,männlich,2220,Auto,Regen
nicht klassifiziert,21,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,weiblich,30,Auto,Unbekannt
Bundesstrasse,38,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1830,Auto,Gut
Bundesstrasse,44,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1524,Auto,Gut
Bundesstrasse,47,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,230,Taxi,Gut
Bundesstrasse,50,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1928,Fahrrad,Gut
nicht klassifiziert,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1345,Auto,Gut
Bundesstrasse,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1640,Auto,Gut
Landesstrasse,13,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,815,Auto,Gut
Bundesstrasse,30,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,1528,Auto,Regen (starker Wind)
Bundesstrasse,32,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,nass / feucht,männlich,725,Fahrrad,Gut
nicht klassifiziert,53,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,3,4,trocken,weiblich,2035,Auto,Gut
nicht klassifiziert,26,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,2245,Auto,Gut
nicht klassifiziert,29,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1327,Bus,Gut
nicht klassifiziert,30,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,Frost / Eis,männlich,45,Auto,Gut
Landesstrasse,11,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,weiblich,2140,Auto,Regen
nicht klassifiziert,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,855,Mottorrad,Gut
nicht klassifiziert,12,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,800,Taxi,Gut
Bundesstrasse,45,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1700,Fahrrad,Gut
nicht klassifiziert,21,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,849,Auto,Gut
Bundesstrasse,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,755,Fahrrad,Regen
Bundesstrasse,27,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2015,Auto,Gut
Bundesstrasse,17,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,2110,Auto,Gut
nicht klassifiziert,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,948,Auto,Gut
Bundesstrasse,31,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,1,trocken,männlich,155,Auto,Gut
